firma,adresse,postcode,city,geometry,phone,Ackerland,Hopfen,Gruenland,Wald,Gemuese,Energie,Obst,Blumen,Gewuerze,Wein
Friedrich Neuser,Krautostheim 74,91484,Sugenheim,POINT (49.577689 10.386686),09165-473,,,,,,,,,,
Stefan &amp; Markus Maurer GbR,Neuweg 2,79365,Rheinhausen,POINT (48.22473385 7.7132926606458625),07643-5010,,,,,,,,,,
Landwirtschaftsbetrieb Steffen Ledderboge,Kleine Straße 5,39343,Bornstedt,POINT (52.1795755 11.3573184),0172-8551406,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Wittich GbR,Nebenstraße 2a,61169,Friedberg,POINT (50.3404073 8.8046247),0151-11222484,< 100,,,,,,,,,
Agrarunternehmen Tannroda eG,Rittersdorfer Weg 2,99438,Bad Berka ,POINT (50.8505094 11.2549138),036450-41212,< 2000,,< 500,,,,,,,
Erdbeer &amp; Kartoffelhof Wendenborstel - H. &amp; H. Brodthage,Alte Dorfstraße 1,31634,Steimbke,POINT (52.6457984 9.4412958),05026-8454, < 50,,,< 50,< 5,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",< 10,,,
Cornelius Mehling,Ulmer Straße 1,89291,Holzheim / Neuhausen,POINT (48.3790097 10.0982177),0176-17004010,,,,,,,,,,
Agrar GbR Dippmann,Feldstraße 2,09217,Burgstädt,POINT (50.89913235 12.803453397862324),0172-4791803,< 500,,< 50,,,,,< 5,,
Peter Ziehr GdbR,Ringgasse 1,95183,Feilitzsch,POINT (50.3608588 11.9301278),0162-4667010,< 100,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Beumers,Lindenwinkel 17,52538,Gangelt / Hastenrath,POINT (51.0083256 5.974851636200141),0151-46705450, < 50,,< 50,,,,,,,
Cord Leiber,Fredestraße 15,49434,Neuenkirchen- Vörden,POINT (52.4671944 8.081478220880612),0170-2410364,< 100,,< 50,,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Landwirtschaflicher Betrieb Familie Pfister,Thüngersheimer Straße 12,97282,Retzstadt,POINT (49.9096961 9.8757202),0170-6250990,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,< 10
Bauck Böddenstedt GbR,Uelzener Straße 6,29556,Suderburg,POINT (52.929535 10.44690172496626),05826-1397,< 100,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Prögel Agrar GbR,Püscheldorf 32,91238,Offenhausen,POINT (49.4300312 11.407626645499754),09158-95105,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Biogas</span>",,,,
Agrargesellschaft Hirschberg mbH,Ullersreuth 9,07927,Hirschberg,POINT (50.4245735 11.8157756),036644-21725,< 2000,,< 500,< 50,,,,,,
Greifenstein,Ruppersdorfer Straße 1,91622,Rügland,POINT (49.40090325 10.585120303432703),09828-251,,,,,,,,,,
Schiller GbR,Hauptstraße 37,97249,Eisingen,POINT (49.7588624 9.8299216),,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Christian Bach,Hirschländerweg 4,68259,Mannheim,POINT (49.51657215 8.582991796400949),,,,,,,,,,,
Wendenborsteler Ackerbau GbR,Clausberg 2,31634,Steimbke,POINT (52.6383355 9.4296327),05026-8454,< 500,,,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Ulrich Horsch,Elfingerhof 1,75433,Maulbronn,POINT (48.9987962 8.7741471),07043-900125,< 500,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Hof Barslund ,Hof Barslund 1,24969,Sillerup,,04604-820,< 500,,< 500,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik, Sonstige</span>",,,,
Sohn und Richling,Mergenwiesenstraße 12,68794,Oberhausen,POINT (49.27525475 8.486533760557645),07254-2875,,,,,,,,,,
Maierhof GbR,Hoffenheimer Str. 46,74889,Sinsheim,POINT (49.25334115 8.792199444310294),07265-911170,< 500,,< 50,,,,,,,
Gerhard Hofmann,Am Alten Weinheimer Weg 48,68519,Viernheim,POINT (49.538738 8.5926739),0172-5985699,,,,,,,,,,
Der Maußer Hof,Ketteldorf 12,91560,Heilsbronn,POINT (49.3513476 10.761145134789388),0152-33829613, < 50,,< 50,< 50,< 5,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Volker Hauke,Ulrichsbruch 7,76684,Östringen,POINT (49.2064699 8.741171101875228),07253-25666,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Schweinemast Groß Bäbelin GmbH,Dorfstraße 2,18292,Groß Bäbelin,POINT (53.6384285 12.387990709087255),0172-2001137,< 500,,< 50,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Andreas Bergmeister,Kapellenweg 30,85080,Gaimersheim,POINT (48.8068439 11.3661187),0170-4712108,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Biogas</span>",,,,
Badmann Heinrich,Ingolstädter Straße 57 A,85080,Gaimersheim,POINT (48.7956338 11.3759858),0160-7427542,< 500,,< 50,,,,,,,
Dünzlau Mühle,Gabelholzstraße 2,85049,Ingolstadt,POINT (48.7801356 11.323915425137402),0172-8978741,< 500,,< 50,< 100,,,,,,
Kasparhof GbR,Unterhainstraße 27,63743,Aschaffenburg,POINT (49.9609872 9.1505138),0172-6770893,< 500,,< 50,,< 5,,,,,
Landwirtschaftlicher Betrieb Link,Siedlerhof 5,63933,Mönchberg,,0171-4697973,,,,,,,,,,
Stefan Köhler,Im Gründchen 1,63831,Wiesen,POINT (50.1075222 9.3770266),06096-336,,,,,,,,,,
Krausbauer,Brunnengasse 1,85101,Lenting,POINT (48.80615014999999 11.456986558078487),0160-96913660,,,,,,,,,,
Felix und Berthold-Dörr GbR,Vollmersdorfer Straße 2 A,74736,Hardheim,POINT (49.6296778 9.4197259),06283-226591,,,,,,,,,,
Simon Grootes,Bettenwarfen 3,26427,Neuharlingersiel,POINT (53.6881445 7.6864801),04974-231,,,,,,,,,,
Harm Langediers,Westerstedter Straße 47,26340,Neuenburg,,04452-8588,,,,,,,,,,
Wildhof,Werdumer Altengrodendeich 3,26409,Wittmund,POINT (53.676175900000004 7.767362699871281),04464-217,,,,,,,,,,
Mathias u.Lukas Berberich GBR,Rütschdorfer Straße 8,74736,Hardheim-Rütschdorf,POINT (49.6423267 9.414697828585073),06283-6887,< 100,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,< 10,,
Dirk Reershemius,Teyweg 6,23736,Pilsum,POINT (53.4776425 7.0507926),04926-926640,,,,,,,,,,
Carsten Beneke,Harjehausen 1,27243,Winkelsett,POINT (52.881657000000004 8.506655049999999),04431-7483486,,,,,,,,,,
Fortmann-Buhre GbR,Steinkimmer Weg 8,27798,Hude,POINT (53.0636245 8.4472722),04408-1261,,,,,,,,,,
Landwirtschaftlicher Betrieb Renke Dählmann,Lindhorn 2,27798,Hude,POINT (53.09890405 8.38858457528073),04408-980889,,,,,,,,,,
Feuerstein GbR,Königstraße 11,61239,Ober-Mörlen,POINT (50.3766074 8.6914968),,,,,,,,,,,
Limeshof,Nauheimer Weg 5,61239,Langenhain-Ziegenberg,POINT (50.3656187 8.63962007028056),0171-5659504,,,,,,,,,,
Henning Gerken,Friedrich-Augustengroden 17,26434,Wangerland,POINT (53.694692 7.8745269),04464-8127,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Landwirtschaftsbetrieb Korth,Lindenstraße 26,19300,Milow,POINT (53.194007400000004 11.542666900000004),0173-4037450, < 50,,< 50,,,,,,,
Zirngibl St. Gilla,St. Gilla 1,93098,Mintraching,POINT (48.9423749 12.3011568),09406-959770,< 100,,,,,,,,,
Landwirtschaftlicher Betrieb Frank Grimm,Klotzenhoferweg 1,63934,Röllbach,POINT (49.7680349 9.2522954),09372-922566,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Lehner Agrar GbR,Talstraße 3,93080,Poign,POINT (48.9288733 12.0984701),0171-6495753,,,,,,,,,,
Ludwig Schnagl,Hofmarkstraße 36,93104,Riekofen,POINT (48.9153904 12.3502111),09480-867,,,,,,,,,,
Christian Deml,Talstraße 6a,93080,Pentling/Poign,POINT (48.9288733 12.0984701),0176-21034819,,,,,,,,,,
Albert Zahnweh,Kastnerstraße 88,93099,Mötzing,POINT (48.8936634 12.3725396),09480-1581,,,,,,,,,,
Ullmer/Ott GbR,Höhenstraße 21,63928,Heppdiel,,09378-237,,,,,,,,,,
Erftal-Rind Neuberger,Erfstraße 51,63927,Bürgstadt,POINT (49.7058755 9.2811567),0160-97818938, < 50,,< 500,,,,,,,
Benedikt Hofmann Obstbau und Landwirtschaft,In den Vierteln 8,63934,Röllbach,POINT (49.77563035 9.239762301299006),0160-7461665,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",< 50,,,
Guido Frey,Heidenhorstweg 1,63920,Großheubach,,09371-959087,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Wößner GbR,Mittlerer Schlatthof 1,78727,Oberndorf-Boll,,,< 100,,< 100,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Hof Witte,Marburg 22,33378,Rheda-Wiedenbrück,POINT (51.846111300000004 8.23623986114513),05242-401155, < 50,,< 50,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Schandel Dieter Sonnenhof,Flurbereinigungsweg 10,63868,Großwallstadt,POINT (49.8712068 9.1457674),06022-653497,,,,,,,,,,
Josef Zitzlsperger,Dorf 1,94550,Künzing,POINT (48.6464765 13.1022374),, < 50,,,,,,,,,
Robert Rötzer,Hiltenbach 12,93491,Stamsried,POINT (49.2941264 12.4860841),09465-228,,,,,,,,,,
Agrarservice Barth und Sohn,Taubermühle,91631,Wettringen,POINT (49.2775881 10.1606112),0170-9179105,,,,,,,,,,
Hanselmann GbR,Unterweiler 34,74582,Gerabronn,POINT (49.27701345 9.942125497807023),07952-925457,,,,,,,,,,
Marquardt Agrar KG,Insinger Straße 4,74585,Rot am See,POINT (49.3160394 10.1306981),07958-640,,,,,,,,,,
Hartmut Neuberger,Berndiel 1,63897,Miltenberg,POINT (49.685802800000005 9.32742020901711),09371-67932,,,,,,,,,,
Mayer GbR Langenberg ,Langenberg 25,73642,Welzheim,POINT (48.871478999999994 9.5880063),07182-2585 , < 50,,< 100,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Driessen GbR,Papenstraße 8,34431,Marsberg-Giershagen,POINT (51.4096643 8.830969375316458),0171-8787750, < 50,,< 50,,< 5,,< 5,,,
Gerhard Stahl,Schindelberg 5,76684,Östringen,POINT (49.2024592 8.7557935),0173-3453852,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Keller,Weierbachsiedlung 8,76703,Kraichtal Menzingen,,07250-92387,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",< 5,,,< 10
Arnold Frilling,Dorfstraße 25,49429,Visbaek Rechterfeld,,04445-961329,,,,,,,,,,
Karl Hogeback,Heide 46,49429,Visbek,POINT (52.8384343 8.4025011),04445-958575,,,,,,,,,,
Harthof - Elsenfeld,Eichelsbacher Weg 9,63820,Elsenfeld,POINT (49.8466316 9.17274416545683),06022-7613,< 500,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Schmoll GbR,Friedhofweg 1/1,74336,Brackenheim- Hausen,POINT (49.077736349999995 9.108483466385135),07135-3667,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,< 5
Leipert GbR,Talhof 1,76703,Kraichtal,POINT (49.143442500000006 8.796720016426832),,< 100,,,,,,,,,
Jan Peters,Altengammer Elbdeich 100,21039,Hamburg,POINT (53.4279708 10.282399495930344),0151-24024341,,,< 100,,,,,,,
Schnell &amp; Weitzel GbR,Obertorstraße 20,63688,Gedern Wenings,POINT (50.385904350000004 9.197948000000006),0171-3584272, < 50,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Landwirtschafts-GbR Junger,St.-Anna-Straße 1,72534,Hayingen Maxfelden,POINT (48.305626000000004 9.437251799999999),07386-9755159,,,,,,,,,,
Jacobs-Hof,Am Mühlenberg 1,28870,Ottersberg,POINT (53.1344184 9.0813666),04293-786634,< 500,,< 100,,,,,,,
Landwirtschaftsbetrieb Franke,Dorfstraße 2,98634,Erbenhausen,POINT (50.5720969 10.1705429),036946-34313,,,,,,,,,,
Johannes Buchberger,Schloßstraße 23a,85122,Hofstetten,POINT (48.8714548 11.328791),08406-91199,,,,,,,,,,
Geiger GbR,Zetta 6,01683,Nossen,POINT (51.11661665 13.33639221372935),,< 500,,< 50,,,,,,,
Schönrather Hof,Neersener Weg 44,41352,Korschenbroich,POINT (51.2261764 6.492983363732536),02161-643286,< 100,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Weddelmann,Hachumer Straße 12,38173,Evessen,POINT (52.1865594 10.6864686),05333-327,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik, Sonstige</span>",,,,
Der Waslbauer - Landwirtschaftliches Unternehmen Familie Niebler,Niesaß 1,92283,Lauterhofen,POINT (49.386995999999996 11.608093796068006),09186-9079464, < 50,,,< 50,,,,,,
Landwirtschaftsbetrieb Karsten Scheffler,Steinmetzstraße 24a,06347,Gerbstedt,POINT (51.5890946 11.6609332),0163-8810874,< 500,,,< 50,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Natur-Agrar Waren GmbH,Dorfstraße 66,17192,Waren,POINT (53.53837115 12.653822229558656),03991-6321600,< 2000,,< 500,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Becker &amp; Geyer GmbH &amp; Co. KG,Mühlrasen 10,06556,Ringleben,POINT (51.366319 11.2285064),0176-30308193,< 2000,,< 100,,,,,,,
Landwirtschaft Mundhenke,Lange Staße 8,31036,Deinsen,,05185-577, < 50,,,,,,,,,
Martin Bareis,Strut 1,73035,Göppingen,POINT (48.6668368 9.614904697883244),07161-5070360, < 50,,< 50,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Läpple GbR,Brommel 1,74360,Ilsfeld,POINT (49.0593843 9.25690461249621),,< 100,,,,< 50,"<span class=""textformatter-list"">Photovoltaik</span>",,< 5,,< 10
Agrargesellschaft Klein Luckow mbH,Max-Schmeling-Str. 43,17309,Jatznick,POINT (53.5527402 13.8379832),0170-3426702,< 2000,,< 500,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Landboden Fürstenwerder GmbH,Zum Steinsee 13,17291,Nordwestuckermark,POINT (53.33099425 13.625978500000004),039852-429,< 2000,,< 50,,,,,,,
Schmid,Im Heckenanger 30,89129,Langenau,POINT (48.4753165 10.0853822),07345-8009657, < 50,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Kartoffelbauer,Zehentstraße 5,93102,Pfatter,POINT (48.966743550000004 12.388332399999998),0171-5547124,< 500,,,,< 5,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Schlossgut Erching ,Schlossgut Erching,85399,Hallbergmoos,,0179-7750403,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Vitus Radi,Hofgut Wernau 1,89155,Erbach,,0171-8296824,< 500,,,,,,,,,
Urkornhof Hecker,Scheuerlesstraße 100,75031,Eppingen,POINT (49.1402756 8.9177272),0170-1806666,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Ernst Rösch,Haustraße 9,73340,Amstetten-Schalkstetten,POINT (48.61442795 9.9119809),07331-941874,< 100,,< 50,,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Hof Hörning,Billerbecker Straße 73,32839,Steinheim,POINT (51.871618600000005 9.076610451177478),, < 50,,,,,"<span class=""textformatter-list"">Sonstige</span>",,,,
Rolf Feil,Im Krebsbrunnen 1,76703,Kraichtal,POINT (49.151518800000005 8.65268204099656),,< 500,,,,,,,,,
Landwirtschaftsbetrieb J. Menke,Kutzerow 62a,17337,Uckerland,POINT (53.4133337 13.7685586),0170-2840400,,,,,,,,,,
Gößwein,Steigstraße 17 a,97291,Thüngersheim,POINT (49.8833226 9.8471459),09364-815665,,,,,,,,,,
Kox ,Dorfstraße 17,47647,Kerken,POINT (51.4155375 6.462784631379309),,< 500,,,,< 50,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Frank Bratzel,Flehinger Berg 2,76703,Kraichtal,,0172-7248810,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Calculatorhof,Calculatorweg 81,47574,Goch,POINT (51.69237805 6.0927575004347485),0176-22913354,,,,,,,,,,
Bergerhof Gmund,Gasse 35,83703,Gmund,POINT (47.7399228 11.7503204),08022-4705,,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Stamm GbR,Schirlinger Hof,65556,Limburg,,0151-40557093, < 50,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Thomas Hacke,Zum Annental 2,27243,Prinzhöfte,POINT (52.9511794 8.574995978399356),,< 100,,,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Georg Urban GbR,Freibergstraße 28,89561,Eglingen,POINT (48.71649565 10.434861812450885),,,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Coorßen Agrar,Am Brink 1,27801,Ostrittrum,POINT (52.979584599999995 8.33924762506024),0173-5397857,,,,,,,,,,
Nordseeferienhöfe Moshardt,Wesermünder Straße 28,21762,Otterndorf,POINT (53.7922651 8.886455122704247),04751-3388,,,,,,,,,,
Richard Engberding,Blickhausener Landstraße 7,27639,Wurster Landstraße 7,,0173-5890539,,,,,,,,,,
Heiko Boning,Husumer Straße 6,26197,Huntlosen,POINT (52.99048875 8.310550720070424),,,,,,,,,,,
Heiko Pflug,Ortstraße 20,27798,Hude,POINT (53.0787272 8.3939277),0174-4331213,,,,,,,,,,
Eilers Holzhausen GbR,Brennereiweg 1,27801,Dötlingen,POINT (52.93500655 8.427671791632054),,,,,,,,,,,
Jan Remmers,Neue Straße 44,26624,Südbrookmerland,POINT (53.4898947 7.3629715),0160-96764966,,,,,,,,,,
Putenmastgemeinschaft Hude GbR,Kirchstraße 6,27798,Hude,POINT (53.1182222 8.4476362),,< 100,,< 50,< 50,,,,,,
Tölle Bendt GbR,Lother Höhe1,32839,Steinheim,,0160-99809871,< 100,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Siegbert Berchtold,St.-Ägidius-Straße 25,97509,Kolitzheim,POINT (49.9436957 10.2303627),09723-3328, < 50,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Fenner,Krausburg 2,27639,Wurster Nordseeküste,,04742-1208,,,,,,,,,,
Bekel/Buhr GbR,Erster Kapellenweg 3,26632,Ihlow,,0162-7791956,< 500,,< 50,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Wilhelm Hellmanns,Kengen 10,47509,Rheurdt,POINT (51.4658918 6.4410136),02833-94726,,,,,,,,,,
Müller GbR Landw. Betrieb ,Straßenäcker 1,69242,Mühlhausen,POINT (49.26962545 8.758960803521163),06222-661056,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,< 5
Kramers Gut,Stobenstraße 18,38350,Helmstedt,POINT (52.231514000000004 11.008519811899196),0171-2782822,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Ulrich Albrecht,Sandstraße 3,38154,Königslutter,POINT (52.2680235 10.785796),0171-2204856, < 50,,< 50,,< 5,"<span class=""textformatter-list"">Sonstige</span>",,,,
Landwirtschaftsbetrieb Labitzke,Ernst- Thälmann-Straße 13,39393,Völpke,POINT (52.137169549999996 11.096291528359394),0170-9242022,< 500,,,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Felix Jacobs,Alte Dorfstraße 4,38372,Büddenstedt,,,,,,,,,,,,
Andreas von Graeve Landwirtschaft,Kirchstraße 5,39365,Eilsleben,POINT (52.1566063 11.310403800347222),0157-73523630,< 2000,,,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Agrarbetrieb Harm Krüger,Alleringersleber Weg 7,39343,Ingersleben,POINT (52.2123884 11.165269001882844),0170-6344768,< 500,,,,< 10,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Obsthof Fam. Fett GbR,Straße der EInheit 64,99986,Kammerforst,POINT (51.121766 10.4257593),0172-3198094,,,,,,,< 5,,,
Landwirtschaftsbetrieb Siedersbeck,Zeitldorf 1,94526,Metten,POINT (48.8436129 12.872383002900204),,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Gut Geratshof,Gut Geratshof 1,86899,Landsberg/Ellighofen,POINT (47.9908561 10.8371582),08246-9990822,< 100,,,< 50,< 50,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Marpe-Wethen,Rathausgasse 13,34474,Diemelstadt,POINT (51.491324 9.0775502),0160-96941448, < 50,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Hof Rose,Eversen 2,33039,Nieheim,POINT (51.837068 9.1241639),,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Gemüsekurve ,Hamburger Straße 41,38518,Gifhorn,POINT (52.5077119 10.5405176),0171-7708850, < 50,,,,< 5,,,,,
Hof am Mühlenbach,Dorfstraße 40,17509,Lodmannshagen,POINT (54.0675789 13.6456688),0175-5511532,< 100,,< 500,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Albrecht von Bodenhausen,Brumbyer Straße 10,39343,Hohe Börde ,POINT (52.208963 11.3030075),039062-363,,,,,,,,,,
Landwirtschaftsbetrieb Christoph Franke,Am Krautgarten 7,07751,Jena OT. Wogau,,0176-30515668,,,< 50,,,,,,,
Christof Schäfer,Cornberger Straße 3,36214,Nentershausen-Dens,POINT (51.0231197 9.904530719615192),06627-239,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Warnerjes,Oberurlichsberg 11,36396,Steinau Neustall,,0160-94874680, < 50,,< 50,< 50,,,< 5,,,
Hof Heidemeyer,Reimerdinger Straße 47,29640,Schneverdingen,POINT (53.0477204 9.8026309),0175-2543593, < 50,,< 50,< 50,,,,,,
Hambsch GbR,Waghäusler Straße 117,68794,Oberhausen,POINT (49.255870200000004 8.5070378792654),0174-3285994,< 500,,< 50,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Schmidt Landgeflügel | Sauerland Wachteln,Auf der Streu 44,59846,Sundern,POINT (51.3104791 8.1034426),0176 47503331,,,< 50,,,,,,,
Milchhof GbR Müller,Dorfstraße 16,39615,Seehausen,POINT (52.932866000000004 11.775338474201519),039386-75486,< 500,,< 500,,,,,,,
Lühmann LuF-BG GbR,Haldensleber Straße 17,39343,Erxleben ,POINT (52.202032450000004 11.264853447563379),039052-6416,,,,,,,,,,
Stefan Waßmuth,Wetterweg 7,35119,Rosenthal,POINT (50.961197 8.8405221),06458-509080, < 50,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,< 5,,
Landwirtschaftsbetrieb Anke Felgentreff,Karl-Liebknecht Straße 11,39167,Niederndodeleben,POINT (52.13204735 11.497333260309974),,,,,,,,,,,
Bernd Müller,Eichholz 11,24601,Ruhwinkel,POINT (54.1008181 10.1867304),04326-715,< 500,,,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
"Landwirtschaftsbetrieb Ackermann GbR, Futtermittel und Landhandel Silvia Ackermann und Ökobetrieb Manfred Ackermann",Am Mühlgraben 5,04442,Zwenkau ,POINT (51.2072661 12.28903360569382),034203-52960,< 100,,< 50,,,,,,,
Mayerhof,Mayerhof 1,76661,Philippsburg,POINT (49.2355044 8.432613),0172-6603284,< 500,,< 50,< 50,< 5,"<span class=""textformatter-list"">Photovoltaik</span>",< 5,< 5,< 1,
Leimstollenhof,Talstraße 144,79194,Gundelfingen,POINT (48.03218765 7.906441450854496),0151-56283407,,,,,,,,,,
Dieckerhof - Familie von der Bey,Dieckerhoffstraße 1,46047,Oberhausen,POINT (51.4649156 6.88215082452535),02088-70634, < 50,,< 50,,,,,,,
Wiethaup GbR,Vinsebecker Straße 50,32839,Steinheim,POINT (51.858847 9.070036018893052),,,,,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Knappertzhof,Knappertzhof,41363,Jüchen-Kelzenberg,,0171-7318430,< 100,,,,,,,,,
Hof Büchsenschütz - Wurstwaren vom Bauernhof,Berliner Straße 19,34549,Edertal-Affoldern,POINT (51.1684678 9.0891205),05623- 48 57   , < 50,,,,,,,,,
Landwirtschaft und Technik Ullmann ,Brunnenstraße 11,38173,Hötzum,POINT (52.2233653 10.617354552019615),053059-30330,< 500,,,< 50,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Agrarservice Lass GmbH,Butterkamp 2,24214,Tüttendorf,POINT (54.39207595 9.982914953507052),04346-3149790,< 500,,< 50,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Henning Siems,Wiesenhof 6,23743,Grömitz,POINT (54.2122909 10.9400956),04363-2653,< 500,,< 50,,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Jochen Langbehn,Ratjensdorferfelde 3,23738,Riepsdorf,,0151-50501693,,,,,,,,,,
Georg Jacobsen,"Am Dorfteich 6, Lutzhöft",24977,Grundhof,POINT (54.7645058 9.6325953),04634-1750,,,,,,,,,,
Peter Arne Thomsen,Börsby 3,24395,Pommerby,POINT (54.740886599999996 9.942627550000001),,,,,,,,,,,
Wisch-Hof,Dorfstraße 38,24217,Krokau,POINT (54.403296600000004 10.341440996279031),04344-3541,< 100,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Schmidt,Süderholzstraße 1,24897,Ulsnis,POINT (54.56742485 9.7469864539821),04641-3263,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Hof Einfeldt,Griebler Holzkatenweg 4,23730,Altenkrempe / ,,04529-1038,,,,,,,,,,
Heino Wohler,Am Dörpsdiek 2,24306,Börnsdorf,POINT (54.1184546 10.4719098),04527-1638,,,,,,,,,,
Joachim Beckmann,Eschweg 16,21729,Freiburg,POINT (53.8261422 9.2515107),,< 500,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Georg Biss,Gut Friedrichshof 1,24306,Bösdorf / Dodau,POINT (54.129656999999995 10.531562093294145),04521-72749,,,,,,,,,,
Hof Körnick,Hof Körnick 1,23743,Grömitz,POINT (54.1442979 10.9316825),04562-6384,,,,,,,,,,
TZG Ernstroda GmbH,Hinterm Riedzaun 1,99894,Friedrichroda,POINT (50.8679492 10.6230405),03623-361510,< 2000,,< 2000,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
BioLution GmbH,Ringelfahrt 1,99634,Straußfurt,POINT (51.1644093 10.9970603),036376-60244,< 2000,,< 100,,,,,,,
Hans Marxen,Ketelsby 13,24392,Boren,POINT (54.607965899999996 9.83817839791312),04641-692,< 500,,,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Beate Laible,Ingelheimerhof 7,74921,Helmstadt-Bargen,,07263 6831,< 500,,,,,,,,,
Baggelan,Baggelan 7,24376,Hasselberg,POINT (54.7067861 9.9589211),04642-6014,,,,,,,,,,
Agrargenossenschaft Trebitz e.G.,Schafstraße 29,06905,Trebitz,POINT (51.7502783 12.7551943),034927-20298,,,,,,,,,,
